Medical_Term,Frequency
then,12430
right,11587
left,11258
history,9509
normal,7526
procedure,7463
placed,7028
not,6897
well,6611
pain,5976
which,5493
any,4933
after,4471
noted,4348
also,4337
time,4287
but,4216
using,4123
will,4064
blood,3956
performed,3953
into,3842
skin,3798
without,3732
anesthesia,3707
all,3653
incision,3601
used,3554
removed,3532
year,3506
room,3502
old,3463
some,3263
diagnosis,3212
general,3064
artery,3027
through,2965
anterior,2932
taken,2816
back,2731
over,2699
disease,2685
past,2674
chest,2631
examination,2578
position,2576
two,2568
area,2557
one,2494
who,2489
lower,2462
fashion,2445
neck,2424
out,2401
negative,2374
present,2368
made,2352
does,2328
upper,2324
did,2313
down,2296
pressure,2284
closed,2279
good,2276
medications,2256
posterior,2254
postoperative,2241
lateral,2190
vicryl,2189
abdomen,2186
obtained,2181
medical,2172
day,2154
operating,2151
approximately,2149
clear,2139
heart,2129
significant,2129
preoperative,2106
surgery,2089
both,2088
evidence,2074
given,2048
tissue,2041
condition,1971
exam,1967
side,1964
suture,1945
about,1939
small,1917
sterile,1914
denies,1906
stable,1903
catheter,1881
physical,1867
bilaterally,1860
done,1847
intact,1839
seen,1821
very,1819
loss,1796
prepped,1792
care,1790
mild,1786
distal,1785
findings,1780
family,1779
daily,1777
complications,1777
extremities,1740
head,1738
wound,1738
symptoms,1736
other,1726
draped,1716
none,1713
bilateral,1699
under,1683
plan,1675
identified,1660
level,1660
prior,1658
within,1644
showed,1636
rate,1632
coronary,1619
signs,1614
once,1606
brought,1595
diagnoses,1592
next,1592
bleeding,1591
further,1573
bone,1568
above,1567
surgical,1555
hospital,1550
would,1547
soft,1544
per,1511
needle,1506
acute,1504
bladder,1501
proximal,1491
muscle,1487
dissection,1487
female,1474
than,1465
medial,1464
allergies,1463
found,1459
nerve,1437
abdominal,1431
when,1418
him,1416
tube,1407
tolerated,1406
more,1405
again,1397
years,1395
status,1391
bowel,1390
mass,1388
these,1386
chronic,1383
point,1383
discussed,1370
use,1368
today,1360
applied,1355
off,1346
first,1337
cervical,1337
unremarkable,1331
days,1320
review,1315
evaluation,1314
fascia,1313
knee,1312
hemostasis,1292
where,1292
difficulty,1292
discharge,1289
weight,1269
treatment,1268
following,1266
however,1265
joint,1261
home,1258
during,1252
last,1251
recovery,1244
foot,1241
states,1234
they,1230
three,1227
illness,1227
extremity,1225
may,1212
weeks,1209
pulmonary,1209
place,1189
subcutaneous,1184
revealed,1183
post,1179
eye,1178
stenosis,1160
vital,1160
attention,1159
sutures,1157
usual,1157
large,1154
impression,1152
vein,1151
risks,1143
total,1138
femoral,1137
multiple,1131
regular,1130
edema,1128
aspect,1127
problems,1124
systems,1121
could,1112
severe,1111
supine,1110
site,1108
hypertension,1107
white,1106
male,1105
inserted,1104
second,1104
see,1095
renal,1083
operative,1081
ago,1081
infection,1079
fracture,1077
since,1076
lesion,1074
including,1074
changes,1066
consent,1061
throughout,1054
end,1051
midline,1048
having,1037
appropriate,1036
due,1030
tendon,1024
respiratory,1020
carried,1016
therapy,1016
able,1010
mother,1006
inferior,998
secondary,997
social,997
wall,993
positive,988
because,985
spine,985
running,984
low,984
interrupted,983
being,980
ligament,978
nasal,974
size,973
now,970
along,963
tumor,958
follow,957
fluid,955
irrigated,955
pulse,952
elevated,951
followed,951
appeared,946
minutes,945
endotracheal,944
previous,942
estimated,937
just,937
lesions,934
cancer,931
blade,929
cardiac,924
full,923
portion,920
mri,919
emergency,911
possible,911
rhythm,911
french,909
heent,907
age,900
high,899
week,897
superior,897
course,895
table,894
biopsy,892
space,886
breath,885
external,880
free,880
months,878
body,875
sent,865
scan,862
breast,858
motion,857
disc,857
masses,854
need,853
assessment,853
felt,852
ray,851
moderate,850
hours,845
only,845
region,834
diabetes,832
cord,832
dissected,830
carotid,828
around,827
operation,824
increased,816
times,814
current,814
weakness,811
motor,809
adequate,807
admitted,806
placement,803
indications,801
distress,801
minimal,795
count,791
sounds,790
developed,789
advanced,789
informed,787
shoulder,787
deep,783
